,id,food_complexity,num_ingredients,serving_setting,expected_cost,related_movie,paired_drink,associated_people,hot_sauce_level,Label
0,716549,3,6.0,"Week day lunch,At a party,Late night snack",5.0,Cloudy with a Chance of Meatballs,Coke ,Friends,A little (mild),Pizza
1,715742,4,2.0,"Week day lunch,At a party,Late night snack",5.0,,Coke,"Friends,Teachers,Strangers",,Pizza
2,727333,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10.0,Gundam I: The Live-Action Movie,cola,Friends,A moderate amount (medium),Pizza
3,606874,4,6.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Mamma Mia!,Soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
4,505318,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Cloudy with a Chance of Meatballs,Soda,"Siblings,Friends",A little (mild),Pizza
5,605771,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Cloudy with a Chance of Meatballs,Soda,"Siblings,Friends",,Pizza
6,606929,3,3.5,Week day lunch,1.0,Dragon Ball Daima,coke ,Friends,,Pizza
7,609789,4,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Rick and Morty,coke,Friends,A moderate amount (medium),Pizza
8,644623,3,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Home Alone,Coca Cola,,,Pizza
9,626792,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Cloudy with a Chance of Meatballs,Coke,"Parents,Siblings,Friends",A lot (hot),Pizza
10,714863,3,10.0,"Weekend dinner,At a party",20.0,And Then There Were None,regular coke,Friends,,Pizza
11,602805,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,The Big Lebowski,Ice Tea,"Parents,Friends",A little (mild),Pizza
12,602526,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Spider-Man 2,lemonade,"Parents,Siblings,Friends",,Pizza
13,497421,4,4.0,"Weekend lunch,Weekend dinner,At a party",30.0,Cloudy with a Chance of Meatballs,Coke,Friends,,Pizza
14,389328,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Goodfellas,Red Wine,"Siblings,Friends",A moderate amount (medium),Pizza
15,289931,3,5.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",3.3333333333333335,A Goofy Movie,Pop like Coke ,Friends,A little (mild),Pizza
16,620148,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Dead Silence,Sprite,"Friends,Strangers",A moderate amount (medium),Pizza
17,387155,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,La La Land,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
18,516975,2,14.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Lego Harry Potter and the Philosopher's Stone,Coke,Friends,,Pizza
19,630825,3,6.0,"Week day dinner,At a party",8.0,Transformers,Soup,Parents,,Pizza
20,614043,5,10.0,"Week day dinner,Weekend dinner,At a party,Late night snack",15.0,Teenage Mutant Ninja Turtles,Coke,"Siblings,Friends",,Pizza
21,521125,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,High School Musical 3: Senior Year,Root beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
22,627780,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,Despicable Me 4,Coke,"Friends,Teachers",,Pizza
23,492744,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Teenage Mutant Ninja Turtles,Soda,"Parents,Friends",A little (mild),Pizza
24,618747,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.333333333333334,Toy Story,7up,Friends,,Pizza
25,607815,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30.0,The Godfather,Coke,"Friends,Teachers",A little (mild),Pizza
26,601609,4,10.0,"Weekend dinner,At a party",6.0,Spider-Man,Diet Coke,Friends,,Pizza
27,602657,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Licorice Pizza,cola,"Friends,Teachers",,Pizza
28,616449,4,3.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",5.0,Teenage Mutant Ninja Turtles,Sparkling Water,"Parents,Friends",A little (mild),Pizza
29,501893,4,5.0,"Weekend lunch,Weekend dinner,At a party",22.5,Fast & Furious,Coke,"Siblings,Friends",,Pizza
30,507448,3,5.0,"Weekend dinner,At a party,Late night snack",20.0,Teenage Mutant Ninja Turtles,Coke,Friends,A little (mild),Pizza
31,606556,1,3.0,At a party,8.0,The Garfield Movie,Cola,Teachers,A little (mild),Pizza
32,724326,3,11.0,"Week day lunch,Weekend lunch,At a party",2.0,Spider-Man: No Way Home,coca-cola,Friends,,Pizza
33,616945,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Ratatouille,coca cola,Teachers,A moderate amount (medium),Pizza
34,630962,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10.0,Five Nights at Freddy's,Coca Cola,"Friends,Teachers",,Pizza
35,715814,2,5.0,"Week day lunch,Week day dinner,At a party",7.425714285714286,,coca-cola,"Parents,Friends,Teachers",A little (mild),Pizza
