,id,food_complexity,num_ingredients,serving_setting,expected_cost,related_movie,paired_drink,associated_people,hot_sauce_level,Label,movie_genres
0,716549,3,6.0,"Week day lunch,At a party,Late night snack",5.0,cloudywithachanceo,"cola,soda",Friends,A little (mild),Pizza,"16,35,10751"
1,715742,4,2.0,"Week day lunch,At a party,Late night snack",5.0,allamerican,"cola,soda","Friends,Teachers,Strangers",none,Pizza,18
2,727333,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10.0,actionpoint,"cola,soda",Friends,A moderate amount (medium),Pizza,35
3,606874,4,6.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,mammamia,soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza,"35,10749"
4,505318,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,cloudywithachanceo,soda,"Siblings,Friends",A little (mild),Pizza,"16,35,10751"
5,605771,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,nancy,soda,"Siblings,Friends",none,Pizza,"9648,18"
6,606929,3,3.5,Week day lunch,1.0,eragon,"cola,soda",Friends,none,Pizza,"14,28,12,10751"
7,609789,4,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,rickandmorty,"cola,soda",Friends,A moderate amount (medium),Pizza,"16,35,10765,10759"
8,644623,3,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,homealone3,"cola,soda",,none,Pizza,"35,10751"
9,626792,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,cloudywithachanceo,"cola,soda","Parents,Siblings,Friends",A lot (hot),Pizza,"16,35,10751"
10,714863,3,10.0,"Weekend dinner,At a party",20.0,anon,"cola,soda",Friends,none,Pizza,"878,80,9648,53"
11,602805,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,biglebowski,"tea,soda","Parents,Friends",A little (mild),Pizza,"35,80"
12,602526,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,spiderman,"fruit,juice","Parents,Siblings,Friends",none,Pizza,"28,878"
13,497421,4,4.0,"Weekend lunch,Weekend dinner,At a party",30.0,cloudywithachanceo,"cola,soda",Friends,none,Pizza,"16,35,10751"
14,389328,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,goodfellas,"alcohol,wine","Siblings,Friends",A moderate amount (medium),Pizza,"18,80"
15,289931,3,5.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",3.3333333333333335,goofymovie,soda,Friends,A little (mild),Pizza,"10749,16,10751,35,12"
16,620148,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,deadsilence,"fruit,soda","Friends,Strangers",A moderate amount (medium),Pizza,27
17,387155,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,lalaland,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza,"35,18,10749,10402"
18,516975,2,14.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,harrypotterandtheh,"cola,soda",Friends,none,Pizza,"12,14"
19,630825,3,6.0,"Week day dinner,At a party",8.0,transformersone,soda,Parents,none,Pizza,"16,878,12,10751"
20,614043,5,10.0,"Week day dinner,Weekend dinner,At a party,Late night snack",15.0,battle,"cola,soda","Siblings,Friends",none,Pizza,"18,10749,10402"
21,521125,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,highschoolmusical3,"tea,asian,water","Parents,Siblings,Friends,Teachers",A little (mild),Pizza,"35,10749,18,10751,10402"
22,627780,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,despicableme,"cola,soda","Friends,Teachers",none,Pizza,"16,10751,35"
23,492744,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,avenuemontaigne,soda,"Parents,Friends",A little (mild),Pizza,"35,18,10749"
24,618747,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.333333333333334,toystory,"fruit,soda",Friends,none,Pizza,"16,12,10751,35"
25,607815,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30.0,godfather,"cola,soda","Friends,Teachers",A little (mild),Pizza,"18,80"
26,601609,4,10.0,"Weekend dinner,At a party",6.0,spiderman,"cola,soda",Friends,none,Pizza,"28,878"
27,602657,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,35pizza,"cola,soda","Friends,Teachers",none,Pizza,35
28,616449,4,3.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",5.0,avenuemontaigne,"water,soda","Parents,Friends",A little (mild),Pizza,"35,18,10749"
29,501893,4,5.0,"Weekend lunch,Weekend dinner,At a party",22.5,fastfuriouspresent,"cola,soda","Siblings,Friends",none,Pizza,"28,12,35"
30,507448,3,5.0,"Weekend dinner,At a party,Late night snack",20.0,avenuemontaigne,"cola,soda",Friends,A little (mild),Pizza,"35,18,10749"
31,606556,1,3.0,At a party,8.0,garfieldmovie,"cola,soda",Teachers,A little (mild),Pizza,"16,35,10751,12"
32,724326,3,11.0,"Week day lunch,Weekend lunch,At a party",2.0,spidermannowayhome,"asian,water,cola,soda,tea",Friends,none,Pizza,"28,12,878"
33,616945,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,ratatouille,"cola,soda",Teachers,A moderate amount (medium),Pizza,"16,35,10751,14"
34,630962,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10.0,fivenightsatfreddy,"cola,soda","Friends,Teachers",none,Pizza,"27,9648,53"
35,715814,2,5.0,"Week day lunch,Week day dinner,At a party",7.425714285714286,noel,"fruit,cola,soda","Parents,Friends,Teachers",A little (mild),Pizza,"18,10749"
36,502799,2,8.0,"Weekend dinner,At a party",10.0,backtothefuture,"tea,soda","Parents,Siblings,Friends",none,Pizza,"12,35,878"
37,605278,2,4.0,"Weekend dinner,At a party,Late night snack",4.0,godfather,"cola,soda","Friends,Teachers,Strangers",A little (mild),Pizza,"18,80"
38,388888,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,mysticriver,"cola,soda",Friends,A little (mild),Pizza,"53,80,18,9648"
39,519548,3,5.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,spiderman,"cola,soda","Parents,Siblings,Friends,Teachers",A little (mild),Pizza,"28,878"
40,405521,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,forsama,"cola,soda",Friends,A moderate amount (medium),Pizza,"99,10752"
41,607410,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",13.0,ironman,"fruit,juice","Siblings,Teachers",none,Pizza,"28,878,12"
42,715795,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",13.0,lifeofpi,"cola,soda","Parents,Friends,Teachers",none,Pizza,"12,18"
43,625326,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3.0,avengers,soda,"Siblings,Friends,Teachers",A little (mild),Pizza,"878,28,12"
44,627220,3,5.0,"Week day lunch,Weekend dinner,At a party,Late night snack",6.5,despicableme,"fruit,soda",Friends,A little (mild),Pizza,"16,10751,35"
45,634964,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,spiderman,"alcohol,soda","Parents,Friends",none,Pizza,"28,878"
46,722500,3,10.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,homealone3,"cola,soda","Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza,"35,10751"
47,602824,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,allamerican,soda,"Parents,Siblings,Friends",none,Pizza,18
48,618355,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,kingkong,"cola,soda","Friends,Teachers,Strangers",none,Pizza,"12,14,27"
49,611097,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,homealone3,"cola,soda","Siblings,Friends",A little (mild),Pizza,"35,10751"
50,634328,2,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,avenuemontaigne,soda,"Parents,Siblings,Friends",none,Pizza,"35,18,10749"
51,607160,2,10.0,At a party,9.0,cloudywithachanceo,"cola,soda",Teachers,A little (mild),Pizza,"16,35,10751"
52,728522,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",12.0,marvels,"cola,soda","Siblings,Friends,Teachers",A lot (hot),Pizza,"878,12,28"
53,718570,3,5.0,"Week day lunch,Week day dinner,At a party",15.0,nancy,"cola,soda","Friends,Strangers",none,Pizza,"9648,18"
54,714598,4,5.0,"Week day dinner,At a party,Late night snack",4.5,garfieldmovie,"cola,soda","Parents,Siblings,Friends,Teachers",A little (mild),Pizza,"16,35,10751,12"
55,601950,3,4.0,"Week day lunch,At a party,Late night snack",3.0,garfield,"cola,soda",Friends,none,Pizza,"35,10751"
56,612478,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,grownups,"cola,soda","Parents,Siblings,Friends",A moderate amount (medium),Pizza,35
57,501416,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",11.0,ninth,"ginger,soda","Teachers,Strangers",A little (mild),Pizza,"9648,53,80,27"
58,629710,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15.0,deadpool,"cola,soda","Parents,Siblings,Friends",A little (mild),Pizza,"28,12,35"
59,502610,2,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35.0,cloudywithachanceo,"cola,soda","Parents,Siblings,Friends",none,Pizza,"16,35,10751"
60,603476,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,whiplash,"cola,soda","Parents,Siblings,Friends",none,Pizza,"18,10402"
61,600957,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,homealone3,water,Siblings,none,Pizza,"35,10751"
