,id,food_complexity,num_ingredients,serving_setting,expected_cost,related_movie,paired_drink,associated_people,hot_sauce_level,Label
0,716549,3,6.0,"Week day lunch,At a party,Late night snack",5.0,Cloudy with a Chance of Meatballs,coke,Friends,A little (mild),Pizza
1,715742,4,2.0,"Week day lunch,At a party,Late night snack",5.0,american young boy,coke,"Friends,Teachers,Strangers",none,Pizza
2,727333,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10.0,Gundam I: The Live-Action Movie,cola,Friends,A moderate amount (medium),Pizza
3,606874,4,6.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Mamma Mia!,soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
4,505318,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Cloudy with a Chance of Meatballs,soda,"Siblings,Friends",A little (mild),Pizza
5,605771,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Cloudy with a Chance of Meatballs,soda,"Siblings,Friends",none,Pizza
6,606929,3,3.5,Week day lunch,1.0,Dragon Ball Daima,coke,Friends,none,Pizza
7,609789,4,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Rick and Morty,coke,Friends,A moderate amount (medium),Pizza
8,644623,3,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Home Alone,cola,,none,Pizza
9,626792,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Cloudy with a Chance of Meatballs,coke,"Parents,Siblings,Friends",A lot (hot),Pizza
10,714863,3,10.0,"Weekend dinner,At a party",20.0,And Then There Were None,coke,Friends,none,Pizza
11,602805,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,The Big Lebowski,ice tea,"Parents,Friends",A little (mild),Pizza
12,602526,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Spider-Man 2,lemonade,"Parents,Siblings,Friends",none,Pizza
13,497421,4,4.0,"Weekend lunch,Weekend dinner,At a party",30.0,Cloudy with a Chance of Meatballs,coke,Friends,none,Pizza
14,389328,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Goodfellas,wine,"Siblings,Friends",A moderate amount (medium),Pizza
15,289931,3,5.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",3.3333333333333335,A Goofy Movie,pop,Friends,A little (mild),Pizza
16,620148,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Dead Silence,sprite,"Friends,Strangers",A moderate amount (medium),Pizza
17,387155,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,La La Land,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
18,516975,2,14.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Lego Harry Potter and the Philosopher's Stone,coke,Friends,none,Pizza
19,630825,3,6.0,"Week day dinner,At a party",8.0,Transformers,none,Parents,none,Pizza
20,614043,5,10.0,"Week day dinner,Weekend dinner,At a party,Late night snack",15.0,Teenage Mutant Ninja Turtles,coke,"Siblings,Friends",none,Pizza
21,521125,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,High School Musical 3: Senior Year,beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
22,627780,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,Despicable Me 4,coke,"Friends,Teachers",none,Pizza
