,title,genre_ids
5024,1,18
8965,10000bc,"12,28,18,14"
7055,1000milesfromchris,"35,10749,10751"
8041,100candlesgame,27
404,100diquestianni,18
5086,100sundays,18
9495,100things,"35,18"
7943,100wolf,"16,10751,14,12"
3627,100yearoldmanwhocl,"12,35,18"
1614,101dalmatians,"10751,35"
9389,101dalmatiansiipat,"10751,16,12,35"
3963,101reykjavik,"18,35,10749"
5793,102dalmatians,"10751,35"
6026,10cloverfieldlane,"53,878,18,27"
5592,10daysofabadman,"80,18"
8620,10dayswithdad,"10751,35"
1914,10lives,"16,35,10751,14"
8716,10minutesgone,"80,28,53,9648"
1147,10thingsihateabout,"35,10749,18"
1551,10thingswehaventdo,"35,18"
8743,10thingsweshoulddo,"18,10749"
6080,10tomidnight,"80,18,53"
2583,116,"53,18"
4901,1212theday,"18,36,53,80,10752"
4273,127hours,"12,18,53"
710,12angrymen,18
3696,12datesofchristmas,"10749,35,14,10770"
7780,12feetdeep,53
7878,12hourshift,"35,80,27"
7547,12mightyorphans,"36,18,28"
7133,12strong,"10752,18,28,36"
4450,12thfail,18
7129,12thman,"10752,18"
1016,12yearsaslave,"18,36"
3778,13,"18,53"
6536,13exorcisms,"18,27"
3041,13goingon30,"35,14,10749"
5844,13hoursthesecretso,"10752,28,36,18,53"
7073,13minutes,"28,18,53"
2692,13thwarrior,"12,36,28"
3146,1408,"27,9648"
2943,14daysgirlfriendin,35
7045,14peaksnothingisim,99
5255,1517toparis,"18,53"
9232,15minutesofwar,"10752,28,18,36"
5418,16181410751pizza,"16,18,14,10751"
9190,161836pizza,"16,18,36"
4754,1628878pizza,"16,28,878"
3877,163510751121040210,"16,35,10751,12,10402,10749"
1931,163528878pizza,"16,35,28,878"
9053,168781280pizza,"16,878,12,80"
9945,1687812pizza,"16,878,12"
1580,17again,"35,14,18,10749"
2135,1810749pizza,"18,10749"
1292,183510749pizza,"18,35,10749"
3275,18presents,"18,10751"
1141,1917,"10752,36,53,18"
5619,1920evilreturns,"53,27,10749"
7782,1922,"27,80,18"
10287,1923,"18,37"
4612,1941,"35,10752,28"
8538,1942unknownbattle,"10752,18,36"
1855,1992,"80,53,28"
8990,1br,"53,18,27"
9883,20,"28,878,14"
1876,2001aspaceodyssey,"878,9648,12"
3964,2001maniacs,"35,27"
8262,200cigarettes,"35,18,10749"
8510,2010,"53,878"
1886,2012,"28,12,878"
10364,2020,"10763,99"
9802,2036originunknown,"878,53,9648"
7837,2046,"18,878,10749"
5321,2048nowheretorun,"878,53,28"
7580,2067,"878,53"
5301,20daysinmariupol,"99,10752"
1723,20thcenturygirl,"10749,18"
2050,21,"18,80"
9208,211,"80,28,53"
8182,21bridges,"80,28,18"
4325,21grams,"18,80,53"
1167,21jumpstreet,"28,35,80"
3362,22july,"80,18,36,53"
1262,22jumpstreet,"80,35,28"
7491,22vsearth,"10751,35,14,16"
64,24hoursofgrace,99
9727,25kmh,"35,18,12,10751"
8970,25thhour,"80,18"
10158,25wordsorless,"10751,10764,10767"
3530,27dresses,"35,10749"
3537,2812351075114878pi,"28,12,35,10751,14,878"
1565,28123510751878pizz,"28,12,35,10751,878"
3733,28days,"35,18"
687,28dayslater,"27,53,878"
898,28weekslater,"27,53,878"
4107,2daysinthevalley,"35,80,53"
2482,2guns,"28,35,80"
